CensusTract,TRACT,State,County,AllFAPeople,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,Urban,Rural,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,HUNVFlag,GroupQuartersFlag,OHU2010,NUMGQTRS,PCTGQTRS,LowIncomeTracts,POP2010,UATYP10,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lahunvhalf,lahunvhalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lahunv1,lahunv1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lahunv10,lahunv10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lahunv20,lahunv20share
36001000100,100,NY,Albany,3994.748812,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,784,79,0.0369331,1,2139,U,2122.300933,0.99219305,1168.418673,0.546245289,640.5154143,0.994589153,216.1650705,0.991582892,182.7118111,0.23305078,461.6434674,0.215822098,242.3857388,0.113317316,165.997579,0.257760216,39.27236243,0.180148452,38.63842606,0.049283707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36001000200,200,NY,Albany,,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,2514,84,0.0138935,1,6046,U,6045.999975,0.999999996,3690.373576,0.610382662,1945.999992,0.999999996,400.9999964,0.999999991,1184.733614,0.471254421,4628.271722,0.765509713,2852.710707,0.471834388,1501.762333,0.77171754,326.0301115,0.813042672,888.057674,0.353244898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36001000300,300,NY,Albany,,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,2581,193,0.0327785,1,5888,U,2305.505341,0.39156001,419.6561697,0.071273127,310.5089873,0.239405541,508.8767527,0.592405999,113.339521,0.043913026,1293.579097,0.219697537,80.95869217,0.013749778,111.5590053,0.086013111,406.564036,0.473299227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36001000401,401,NY,Albany,,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1017,575,0.2581949,0,2227,U,1522.179299,0.683511135,178.4563088,0.080133053,111.3049128,0.747012837,555.5164967,0.510585015,119.3905232,0.117394811,484.2443863,0.217442473,56.7715412,0.025492385,35.97040123,0.241412089,147.8247952,0.135868378,40.97674345,0.040291783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36001000403,403,NY,Albany,,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,2196,15,0.0033975,0,4415,U,1428.559907,0.323569628,385.9754235,0.087423652,174.6522578,0.328911973,232.6495869,0.342635621,166.7604203,0.075938261,371.1041993,0.084055311,96.80978984,0.021927472,49.40655608,0.093044362,58.49393969,0.086147187,59.55276793,0.027118747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36001000404,404,NY,Albany,,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,12,5177,0.9950029,1,5203,U,5202.999884,0.999999978,894.2656143,0.171874998,9.99999967,0.999999967,4.999999881,0.999999976,0,0,1136.55304,0.218441868,195.3450584,0.037544697,1.856101856,0.185610186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36001000501,501,NY,Albany,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1559,117,0.0342907,1,3412,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36001000502,502,NY,Albany,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,872,1660,0.4814385,0,3448,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36001000600,600,NY,Albany,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1409,143,0.038901,1,3676,U,241.4663515,0.065687256,161.6703802,0.043979973,66.11743796,0.084441172,9.820487056,0.069648844,24.8690111,0.017650114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36001000700,700,NY,Albany,,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1413,14,0.003664,1,3821,U,3378.678116,0.884239235,2052.623664,0.537195411,1122.791782,0.882004542,276.1132735,0.914282363,400.9479016,0.283756477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36001000800,800,NY,Albany,,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1015,118,0.0493105,1,2393,U,2390.051575,0.998767896,1529.463327,0.639140546,641.7340658,0.999585772,267.6726979,0.998778724,536.4704801,0.528542345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36001001100,1100,NY,Albany,,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,705,147,0.1257485,1,1169,U,1168.999991,0.999999992,885.8511996,0.757785457,123.9999979,0.999999983,208.0000032,1.000000016,451.8454913,0.64091559,200.7572527,0.171734177,152.1309345,0.130137669,19.67979218,0.158708001,14.14182059,0.067989522,42.68212966,0.060542028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36001001400,1400,NY,Albany,,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,2404,31,0.0087079,0,3560,U,2017.022564,0.566579372,848.8027449,0.238427737,98.53158906,0.553548253,177.0979164,0.651095281,340.4922825,0.141635725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36001001500,1500,NY,Albany,,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,2228,39,0.0084672,1,4606,U,4248.902659,0.922471268,2457.477485,0.533538316,373.5628648,0.967779442,343.9911114,0.968989046,427.5256044,0.191887614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36001001600,1600,NY,Albany,,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1768,233,0.0545284,1,4273,U,1923.73556,0.450207246,675.1363033,0.158000539,323.6341382,0.572803784,172.6667727,0.607981594,126.5071696,0.071553829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36001001700,1700,NY,Albany,,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1824,145,0.0360607,0,4021,U,1827.357677,0.454453538,515.4627086,0.128192666,300.3433576,0.498909232,302.1144205,0.579874128,92.69206933,0.05081802,119.5018845,0.029719444,42.15903473,0.010484714,14.78785896,0.02456455,50.35865402,0.096657685,4.765318394,0.002612565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
