CensusTract,Tract,State,County,LILATRACTPEOP,PCTLILATRACT,PCTSARATOGA,POP2010,bin
36091061000,61000,NY,Saratoga,0,0%,0.00%,4085,5
36091061200,61200,NY,Saratoga,0,0%,0.00%,5130,5
36091061303,61303,NY,Saratoga,0,0%,0.00%,1914,5
36091062601,62601,NY,Saratoga,45,2%,0.20%,2480,5
36091062800,62800,NY,Saratoga,63,3%,0.20%,1990,5
36091061301,61301,NY,Saratoga,127,4%,0.40%,3545,5
36091060902,60902,NY,Saratoga,170,10%,0.60%,1781,5
36091061404,61404,NY,Saratoga,184,6%,0.60%,3100,5
36091062501,62501,NY,Saratoga,171,3%,0.60%,5238,5
36091062506,62506,NY,Saratoga,211,4%,0.70%,5373,5
36091062509,62509,NY,Saratoga,220,7%,0.70%,3101,5
36091061800,61800,NY,Saratoga,234,4%,0.80%,5684,5
36091062503,62503,NY,Saratoga,248,4%,0.80%,5701,5
36091061600,61600,NY,Saratoga,295,7%,1.00%,4133,5
36091062404,62404,NY,Saratoga,305,18%,1.00%,1710,5
36091062505,62505,NY,Saratoga,328,10%,1.10%,3232,5
36091062100,62100,NY,Saratoga,418,25%,1.40%,1669,5
36091062200,62200,NY,Saratoga,414,14%,1.40%,3059,5
36091062507,62507,NY,Saratoga,408,12%,1.40%,3533,5
36091060601,60601,NY,Saratoga,475,17%,1.60%,2715,5
36091060400,60400,NY,Saratoga,496,19%,1.70%,2559,5
36091061500,61500,NY,Saratoga,530,15%,1.80%,3545,5
36091060503,60503,NY,Saratoga,556,28%,1.90%,1995,5
36091062602,62602,NY,Saratoga,570,8%,1.90%,6725,4
36091060200,60200,NY,Saratoga,604,17%,2.00%,3518,4
36091060501,60501,NY,Saratoga,587,29%,2.00%,2048,4
36091062300,62300,NY,Saratoga,585,27%,2.00%,2137,4
36091061403,61403,NY,Saratoga,666,11%,2.20%,5930,4
36091062405,62405,NY,Saratoga,651,10%,2.20%,6403,4
36091060901,60901,NY,Saratoga,699,18%,2.30%,3893,4
36091061100,61100,NY,Saratoga,691,13%,2.30%,5324,4
36091060502,60502,NY,Saratoga,723,35%,2.40%,2070,4
36091061701,61701,NY,Saratoga,714,16%,2.40%,4367,3
36091062508,62508,NY,Saratoga,781,17%,2.60%,4554,3
36091061702,61702,NY,Saratoga,819,19%,2.70%,4271,3
36091060101,60101,NY,Saratoga,854,14%,2.80%,6199,3
36091060800,60800,NY,Saratoga,910,18%,3.00%,5087,3
36091061302,61302,NY,Saratoga,902,14%,3.00%,6588,3
36091062406,62406,NY,Saratoga,892,24%,3.00%,3684,3
36091060102,60102,NY,Saratoga,964,19%,3.20%,5011,2
36091062403,62403,NY,Saratoga,973,15%,3.20%,6506,2
36091061903,61903,NY,Saratoga,993,17%,3.30%,5788,2
36091062000,62000,NY,Saratoga,1017,15%,3.40%,6618,2
36091062700,62700,NY,Saratoga,1080,17%,3.60%,6433,2
36091060702,60702,NY,Saratoga,1112,12%,3.70%,9095,2
36091061901,61901,NY,Saratoga,1163,13%,3.90%,8977,1
36091060300,60300,NY,Saratoga,1206,30%,4.00%,3972,1
36091060701,60701,NY,Saratoga,1190,17%,4.00%,7078,1
36091060602,60602,NY,Saratoga,1224,24%,4.10%,5060,1
36091061401,61401,NY,Saratoga,1529,31%,5.10%,4999,1
Totals,N/A,N/A,N/A,29996,14%,100.00%,219607,N/A
